pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 110082 b,HD 110082,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),10.18271,0.113,3.2,10.3,0.2,955,F8 V,6200,1.19,1.21,0.08,4.2,105.096,9.23,8.002,9.11523
HD 110113 b,HD 110113,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.541,0.035,2.05,4.55,0.093,1371,G,5732,0.97,1,0.14,4.46,106.307,10.09,8.502,9.91036
HD 110113 c,HD 110113,1,2,Radial Velocity,2021,La Silla Observatory,6.744,0.068,3.23,10.5,0.045,990,G,5732,0.97,1,0.14,4.46,106.307,10.09,8.502,9.91036
HD 115954 b,HD 115954,1,1,Radial Velocity,2021,Haute-Provence Observatory,3700,5,12.6,2634.79749,0.487,145,G0 V,5957,1.21,1.18,0.34,4.15,87.6437,8.34,6.87,8.18736
HD 130322 b,HD 130322,1,1,Radial Velocity,1999,La Silla Observatory,10.70871,0.0925,13.7,365.49,0.029,720,K0 V,5387,0.85,0.92,-0.02,4.52,31.8766,8.04,6.234,7.83448
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,11.57797,0.0964,1.664,4.72,0,905,G4 V,5664,1.06,0.87,-0.24,4.39,14.682,5.65,4.159,5.48495
HD 136352 c,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,27.59221,0.1721,2.916,11.24,0,677,G4 V,5664,1.06,0.87,-0.24,4.39,14.682,5.65,4.159,5.48495
HD 136352 d,HD 136352,1,3,Radial Velocity,2019,La Silla Observatory,107.245,0.425,2.562,8.82,0,431,G4 V,5664,1.06,0.87,-0.24,4.39,14.682,5.65,4.159,5.48495
HD 1397 b,HD 1397,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),11.53533,0.1097,11.5,131.89945,0.251,1228,G5 III/IV,5521,2.34,1.32,0.29,3.82,79.5702,7.79,5.988,7.59336
HD 149026 b,HD 149026,1,1,Radial Velocity,2005,Subaru Telescope,2.87589,0.04364,8.295,120.7754,0,1626,G0,6179,1.41,1.42,0.32,4.37,75.8643,8.15,6.819,8.01416
HD 152843 b,HD 152843,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),11.6264,0.1053,3.41,11.56,0.14,1120,G0,6310,1.43,1.15,-0.16,4.19,107.898,8.855,7.629,8.76412
HD 15337 b,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.75615,0.0522,1.64,7.51,0.09,1001,K1 V,5125,0.86,0.9,0.15,4.53,44.8155,9.1,7.044,8.85598
HD 15337 c,HD 15337,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.1784,0.1268,2.39,8.11,0.05,642,K1 V,5125,0.86,0.9,0.15,4.53,44.8155,9.1,7.044,8.85598
HD 160691 d,HD 160691,1,4,Radial Velocity,2004,La Silla Observatory,9.6386,0.09094,3.24,10.5547,0.172,900,G3IV/V,5813,1.38,1.08,0.302,4.25,15.5981,5.12,3.683,4.94916
HD 164922 b,HD 164922,1,4,Radial Velocity,2005,W. M. Keck Observatory,1207,2.16,13.3,116,0.08,159,G9 V,5390,0.95,0.93,0.18,4.46,22.0016,7.01227,5.113,6.78614
HD 164922 c,HD 164922,1,4,Radial Velocity,2016,Multiple Observatories,75.74,0.341,3.66,13,0.12,400,G9 V,5390,0.95,0.93,0.18,4.46,22.0016,7.01227,5.113,6.78614
HD 168746 b,HD 168746,1,1,Radial Velocity,2002,La Silla Observatory,6.404,0.07,11.1,85.8141,0.11,900,G5,5570,1.09,1.07,-0.08,4.39,41.5681,7.95,6.253,7.77169
HD 169830 b,HD 169830,1,2,Radial Velocity,2000,La Silla Observatory,225.62,0.81,13.2,915.31,0.31,345,F8 V,6299,1.94,1.4,0.21,4.1,37.6048,5.9,4.688,5.77641
HD 17156 b,HD 17156,1,1,Radial Velocity,2007,Subaru Telescope,21.21663,0.16278,12.33,1115.5833,0.68,883,G5,6040,1.55,1.41,0.19,4.2,78.0863,8.17,6.763,8.03298
HD 183579 b,HD 183579,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),17.471278,0.1334,3.55,19.7,0.28,769,G2 V,5788,0.98,1.03,-0.023,4.5,57.2651,8.67,7.15,8.51549
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,2.21857567,0.03126,12.666,359.1479,0,1209,K0-2 V,5052,0.75,0.79,-0.02,4.49,19.7638,7.67,5.541,7.41432
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,24.3556,0.15,14.2,177.9848,0.05,486,K0 V,4976,0.74,0.66,0.03,4.51,19.6359,7.79,5.537,7.49558
HD 192310 b,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,74.72,0.32,4.27,16.9,0.13,355,K3V,5166,0.86,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 192310 c,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,525.8,1.18,5.25,24,0.32,185,K3V,5166,0.81,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 20794 b,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,18.315,0.1207,1.45,2.7,0,660,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 20794 c,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,40.114,0.2036,1.35,2.4,0,508,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 20794 d,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,90.309,0.3499,2.04,4.8,0,388,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,W. M. Keck Observatory,3.52474859,0.04707,15.581,232.0159,0,1459,G0 V,6091,1.19,1.23,0.01,4.45,48.3016,7.65,6.308,7.50866
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,223.8,0.768,12.8,1760.76937,0.084,4,F7 V,6273,1.21,1.2,0.18,4.3,83.0919,8.48,7.244,8.34865
HD 213885 b,HD 213885,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1.008035,0.02012,1.745,8.83,0,2128,G,5978,1.1,1.07,-0.04,4.38,48.0883,7.95,6.419,7.80173
HD 213885 c,HD 213885,1,2,Radial Velocity,2019,Multiple Observatories,4.78503,0.056798,4.71,19.95,0,1265,G,5978,1.1,1.07,-0.04,4.38,48.0883,7.95,6.419,7.80173
HD 219134 b,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,3.092926,0.03876,1.602,4.74,0,1015,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 c,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.76458,0.0653,1.511,4.36,0.062,782,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 d,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,46.859,0.237,1.61,16.17,0.138,410,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 f,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,22.717,0.1463,1.31,7.3,0.148,523,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 221416 b,HD 221416,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),14.2767,0.1228,9.17,60.5,0.115,1012,K0 IV/V,5080,2.94,1.21,-0.08,3.58,95.5483,8.15,6.043,7.90776
HD 23472 b,HD 23472,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.667,0.121,1.872,17.92,0,500,K3.5 V,4813,0.73,0.75,-0.19,4.38,39.0341,9.73,7.207,9.38476
HD 23472 c,HD 23472,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),29.625,0.17,2.149,17.18,0,613,K3.5 V,4813,0.73,0.75,-0.19,4.38,39.0341,9.73,7.207,9.38476
HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,13.671,0.0932,2.52,6.89,0.3,470,M0.0 V,3933,0.57,0.58,-0.03,4.7,15.2354,9.71,6.059,9.037911
HD 27969 b,HD 27969,1,1,Radial Velocity,2021,Haute-Provence Observatory,654.5,1.552,12.9,1525.57635,0.182,261,G0 V,5966,1.27,1.16,0.18,4.12,67.9328,7.66,6.202,7.5139
HD 285968 b,HD 285968,1,1,Radial Velocity,2008,La Silla Observatory,8.7836,0.066,2.83,8.4,0,450,M2 V,3703.49,0.48,0.5,-0.1,4.75,9.47045,9.95,5.607,8.99955
HD 3167 b,HD 3167,1,3,Transit,2016,K2,0.959624,0.0186,1.7,5.02,0,1669,K0 V,5528,0.87,0.94,-0.02,4.53,47.2899,8.97,7.066,8.76221
HD 3167 c,HD 3167,1,3,Transit,2016,K2,29.83832,0.1841,2.86,9.8,0.05,531,K0 V,5528,0.87,0.94,-0.02,4.53,47.2899,8.97,7.066,8.76221
HD 330075 b,HD 330075,1,1,Radial Velocity,2004,La Silla Observatory,3.38773,0.04,14.3,152.5584,0,990,K1,5000,0.84,0.47,0.05,4.26,45.2989,9.36,7.171,9.09159
HD 332231 b,HD 332231,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),18.71204,0.1436,9.718,77.55052,0.032,876,F8,6089,1.28,1.13,0.036,4.28,80.6665,8.558,7.242,8.41839
HD 40307 b,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,4.3123,0.0468,1.83,4,0.2,910,K2.5 V,4956,0.72,0.77,-0.31,4.47,12.9363,7.17,4.793,6.84367
HD 40307 c,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,9.6184,0.0799,2.46,6.6,0.06,696,K2.5 V,4956,0.72,0.77,-0.31,4.47,12.9363,7.17,4.793,6.84367
HD 40307 d,HD 40307,1,5,Radial Velocity,2009,La Silla Observatory,20.432,0.1321,3.04,9.5,0.07,541,K2.5 V,4956,0.72,0.77,-0.31,4.47,12.9363,7.17,4.793,6.84367
HD 40307 f,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,51.76,0.247,2.13,5.2,0.02,398,K2.5 V,4956,0.72,0.77,-0.31,4.47,12.9363,7.17,4.793,6.84367
HD 40307 g,HD 40307,1,5,Radial Velocity,2013,La Silla Observatory,197.8,0.6,2.56,7.1,0.29,255,K2.5 V,4956,0.72,0.77,-0.31,4.47,12.9363,7.17,4.793,6.84367
HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,149.61,0.554,3.89,14.4,0.19,337,G4 V,5727,1,1.01,-0.09,4.44,24.3358,6.87,5.301,6.68303
HD 52265 b,HD 52265,1,1,Radial Velocity,2000,W. M. Keck Observatory,119.27,0.52,13.7,384.5743,0.27,405,G0V,6136,1.32,1.2,0.21,4.36,29.9803,6.29351,4.953,6.15257
HD 5278 b,HD 5278,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.339156,0.1202,2.45,7.8,0.08,943,F V,6203,1.19,1.13,-0.12,4.5,57.5846,7.94,6.605,7.80375
HD 63433 b,HD 63433,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),7.10793,0.0719,2.15,5.27,0,886,G5IV,5640,0.91,0.99,0.017,4.53,22.4035,6.92035,5.258,6.71831
HD 63433 c,HD 63433,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),20.5453,0.1458,2.67,7.61,0,622,G5IV,5640,0.91,0.99,0.017,4.53,22.4035,6.92035,5.258,6.71831
HD 75289 b,HD 75289,2,1,Radial Velocity,1999,La Silla Observatory,3.50927,0.05,14.2,155.7367,0.03,1260,G0,6117,1.23,1.29,0.26,4.37,29.1158,6.35,5.012,6.21047
HD 7924 b,HD 7924,1,3,Radial Velocity,2008,W. M. Keck Observatory,5.39792,0.06,2.4,6.3566,0.06,826,K0.5 V,5131,0.78,0.65,-0.21,4.46,16.9922,7.17896,5.159,6.92516
HD 7924 c,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,15.299,0.1134,2.72,7.86,0.098,584,K0.5 V,5075,0.78,0.83,-0.15,4.59,16.9922,7.17896,5.159,6.92516
HD 7924 d,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,24.451,0.1551,2.42,6.44,0.21,499,K0.5 V,5075,0.78,0.83,-0.15,4.59,16.9922,7.17896,5.159,6.92516
HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,111.4367,0.4565,11.994,1392.0954,0.93,405,G5,5561,1.04,1.15,0.35,4.42,66.4711,9.06,7.316,8.82008
HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,1711.7,2.878,12.9,1544.64606,0.862,203,G1 V,5837,1.06,1.08,0.17,4.18,85.3951,8.48,6.914,8.33173
HD 85512 b,HD 85512,1,1,Radial Velocity,2011,La Silla Observatory,58.43,0.26,1.72,3.6,0.11,298,K5 V,4300,0.71,0.43,-0.26,4.36,11.281,7.67,4.717,7.18726
HD 86226 b,HD 86226,1,2,Radial Velocity,2009,Las Campanas Observatory,1628,2.73,14.3,143.0235,0.059,176,G1 V,5863,1.05,1.02,0.018,4.4,45.683,7.93,6.463,7.7713
HD 86226 c,HD 86226,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.98442,0.049,2.16,7.25,0.075,1311,G1 V,5863,1.05,1.02,0.018,4.4,45.683,7.93,6.463,7.7713
HD 89345 b,HD 89345,1,1,Transit,2018,K2,11.8143,0.1066,7.398,34.9613,0.22,1089,G5,5576,1.75,1.16,0.421,4.02,132.345,9.38,7.721,9.21702
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,Las Campanas Observatory,55.087,0.262,3.89,42.44,0.197,385,K0.5 V,5212,0.87,0.83,0.04,4.54,36.9941,8.62,6.591,8.38213
HD 95544 b,HD 95544,1,1,Radial Velocity,2021,Haute-Provence Observatory,2172,3.386,12.7,2173.9463,0.043,156,G3 V,5722,1.09,1.09,0.11,4.07,87.8049,8.39,6.771,8.210671
HD 97658 b,HD 97658,1,1,Radial Velocity,2010,W. M. Keck Observatory,9.4897116,0.0805,2.12,8.3,0.05,751,K1 V,5212,0.73,0.85,-0.23,4.64,21.5618,7.76,5.734,7.5136
HIP 116454 b,HIP 116454,2,1,Transit,2014,K2,9.1205,0.0906,2.466,12.7132,0.2,690,K1,5089,0.72,0.81,-0.16,4.59,62.4491,10.19,8.029,9.93208
HIP 65 A b,HIP 65 A,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.9809734,0.01782,22.754,1021.18779,0,1411,K4 V,4590,0.72,0.78,0.18,4.61,61.7856,11,8.29,10.5895
HR 5183 b,HR 5183,2,1,Radial Velocity,2019,Multiple Observatories,27000,18,13.1,1026.5909,0.84,171,G0 V,5794,1.53,1.07,0.1,4.02,31.4607,6.33432,4.851,6.17464
HR 858 b,HR 858,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.58599,0.048,2.085,5,0.3,1572,F6 V,6201,1.31,1.15,-0.14,4.26,31.964,6.38,5.149,6.25276
HR 858 c,HR 858,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),5.97293,0.0674,1.939,4.42,0.19,1326,F6 V,6201,1.31,1.15,-0.14,4.26,31.964,6.38,5.149,6.25276
HR 858 d,HR 858,2,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),11.23,0.1027,2.164,5.32,0.28,1075,F6 V,6201,1.31,1.15,-0.14,4.26,31.964,6.38,5.149,6.25276
HR 8799 c,HR 8799,1,4,Imaging,2008,Gemini Observatory,69000,38,13,3000,0.5,1200,A5 V,7204.58,1.49,1.5,-0.47,4.3,41.2441,5.98,5.24,5.90914
HR 8799 d,HR 8799,1,4,Imaging,2008,W. M. Keck Observatory,37000,24,13,3000,0.6,1300,A5 V,7204.58,1.49,1.5,-0.47,4.3,41.2441,5.98,5.24,5.90914
HR 8799 e,HR 8799,1,4,Imaging,2010,W. M. Keck Observatory,20815.6,16.4,13.115,3178.3,0.15,1150,A5,7400,1.49,1.51,-0.5,4,41.2441,5.98,5.24,5.90914
K2-10 b,K2-10,1,1,Transit,2015,K2,19.3044,0.137,3.84,27,0.31,703,F9,5620,0.98,0.92,-0.07,4.5,272.36,12.429,10.645,12.2156
K2-100 b,K2-100,1,1,Transit,2016,K2,1.6739035,0.0301,3.88,21.8,0,1841,G0 V,5945,1.24,1.15,0.22,4.33,188.959,10.651,9.182,10.4053
K2-101 b,K2-101,1,1,Transit,2016,K2,14.6762429,0.1124,2,4.66,0.1,618,K3,4927,0.76,0.82,0.07,4.59,188.33,12.892,10.536,12.6619
K2-104 b,K2-104,1,1,Transit,2016,K2,1.9741954,0.0242,1.79,3.86,0.09,798,M2.5e,3712,0.48,0.51,0.18,4.78,189.289,15.989,12.014,15.3955
K2-107 b,K2-107,1,1,Transit,2017,K2,3.313959,0.0475,15.98,266.9772,0,1649,F9 IV,6061,1.81,1.3,0.14,4.04,685.2,13.012,11.21,12.7669
K2-110 b,K2-110,1,1,Transit,2017,K2,13.86387,0.1027,2.56,16.7,0.079,575,K3 V,4950,0.71,0.75,-0.21,4.61,116.474,11.985,9.607,11.6627
K2-111 b,K2-111,1,2,Transit,2017,K2,5.3518,0.057,1.82,5.29,0.13,1309,G2,5775,1.25,0.84,-0.46,4.25,200.394,11.13,9.377,10.9294
K2-113 b,K2-113,1,1,Transit,2017,K2,5.817685,0.0642,12.14,410.0007,0,1098,G,5660,1.24,1.04,0.27,4.27,635.722,13.744,11.949,13.5039
K2-115 b,K2-115,1,1,Transit,2017,K2,20.272615,0.143,12.06,266.9772,0.137,619,G4,5657,0.88,0.95,-0.1,4.53,413.591,13.444,11.724,13.2
K2-117 b,K2-117,1,2,Transit,2017,K2,1.2916,0.0189,2.03,4.78,0.06,868,M1.0 V,3778,0.51,0.54,-0.05,4.75,101.632,14.639,10.589,13.8012
K2-117 c,K2-117,1,2,Transit,2017,K2,5.444017,0.0492,2.06,4.9,0.15,537,M1.0 V,3778,0.51,0.54,-0.05,4.75,101.632,14.639,10.589,13.8012
K2-122 b,K2-122,2,1,Transit,2017,K2,2.2193023,0.0373,1.16,1.65,0.21,769,M0,4009,0.59,0.63,0.32,4.69,72.0444,13.105,9.275,12.3708
K2-136 c,K2-136,2,3,Transit,2017,K2,17.307137,0.11728,2.91,8.8,0.13,425,K5.5,4499,0.66,0.74,0.15,4.66,59.2474,11.101,8.368,10.8545
K2-137 b,K2-137,1,1,Transit,2017,K2,0.179715,0.0058,0.89,158.915,0,1471,M3 V,3492,0.44,0.46,0.08,4.82,98.8765,15.94,10.882,14.4345
K2-138 b,K2-138,1,6,Transit,2017,K2,2.35309,0.03385,1.51,3.1,0.048,1157,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-138 c,K2-138,1,6,Transit,2017,K2,3.56004,0.04461,2.299,6.31,0.045,1012,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-138 d,K2-138,1,6,Transit,2017,K2,5.40479,0.05893,2.39,7.92,0.043,888,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-138 e,K2-138,1,6,Transit,2017,K2,8.26146,0.0782,3.39,12.97,0.077,757,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-138 f,K2-138,1,6,Transit,2017,K2,12.75758,0.10447,2.904,1.63,0.062,653,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-138 g,K2-138,1,6,Transit,2021,K2,41.96797,0.23109,3.013,4.32,0.059,445,G8 V,5356.3,0.86,0.94,0.14,4.54,202.585,12.246,10.305,12.0252
K2-139 b,K2-139,1,1,Transit,2017,K2,28.380619,0.1796,9.11,123.00021,0.12,524,K0 V,5370,0.88,0.96,0.24,4.54,153.856,11.652,9.66,11.4626
K2-14 b,K2-14,1,1,Transit,2015,K2,8.36802,0.0627,4.81,20.7,0.14,488,M0,3789,0.45,0.47,-0.37,4.61,364.048,15.78,12.611,15.5348
K2-140 b,K2-140,1,1,Transit,2017,K2,6.569188,0.068,13.563,295.58042,0,962,G6 V,5585,1.06,0.96,0.1,4.4,347.917,12.727,10.995,12.4814
K2-141 b,K2-141,1,2,Transit,2018,K2,0.2803244,0.00716,1.51,5.08,0,2039,K7 V,4599,0.68,0.71,-0.06,4.62,61.8736,11.454,8.401,10.7217
K2-146 b,K2-146,1,2,Transit,2018,K2,2.6446,0.0248,2.05,5.77,0.129,534,M3.0 V,3385,0.33,0.33,-0.02,4.9,79.3002,16.7,11.37,14.9834
K2-17 b,K2-17,1,1,Transit,2015,K2,17.96753,0.119,2.23,5.6,0.18,487,K7,4320,0.66,0.71,0.15,4.8,125.106,13.411,10.308,13.0023
K2-18 b,K2-18,1,2,Transit,2015,K2,32.939623,0.1429,2.37,8.92,0.2,284,M2.5 V,3457,0.41,0.36,0.12,4.79,38.0266,13.477,8.899,12.4154
K2-18 c,K2-18,1,2,Radial Velocity,2017,La Silla Observatory,8.962,0.06,2.65,7.51,0.47,363,M2.5 V,3457,0.41,0.36,0.09,4.79,38.0266,13.477,8.899,12.4154
K2-180 b,K2-180,1,1,Transit,2018,K2,8.8656511,0.0734,2.52,11.44182,0,802,K2 V,5306,0.72,0.72,-0.5,4.57,203.896,12.557,10.677,12.4039
K2-19 b,K2-19,1,3,Transit,2015,K2,7.9194,0.074,7.74,28.5,0.119,854,G9 V,5430,0.86,0.93,0.1,4.63,289.827,13.024,11.161,12.8153
K2-19 c,K2-19,1,3,Transit,2015,K2,11.90715,0.0971,4.86,7.5,0.183,745,G9 V,5430,0.86,0.93,0.1,4.63,289.827,13.024,11.161,12.8153
K2-19 d,K2-19,1,3,Transit,2016,K2,2.50856,0.0344,1.14,14,0,1252,G9 V,5430,0.86,0.93,0.1,4.63,289.827,13.024,11.161,12.8153
K2-21 b,K2-21,1,2,Transit,2015,K2,9.325038,0.076,1.84,4.04,0.1,500,M0.0,4222.06,0.65,0.68,-0.11,4.83,83.6448,12.851,9.417,12.2785
K2-21 c,K2-21,1,2,Transit,2015,K2,15.50192,0.107,2.49,6.76,0.21,420,M0.0,4222.06,0.65,0.68,-0.11,4.83,83.6448,12.851,9.417,12.2785
K2-216 b,K2-216,1,1,Transit,2018,K2,2.1748,0.028,1.75,8,0,1103,K5 V,4503,0.72,0.7,0,4.57,115.461,12.403,9.721,12.0576
K2-22 b,K2-22,2,1,Transit,2015,K2,0.381078,0.0088,2.5,444.962,0.19,2100,M0 V,3830,0.57,0.6,0.03,4.65,243.836,15.565,11.924,14.9537
K2-229 b,K2-229,1,2,Transit,2018,K2,0.58426,0.0131,1.14,2.49,0,1818,G9,5315,0.79,0.87,-0.09,4.59,102.564,10.985,9.05,10.7861
K2-229 c,K2-229,1,2,Transit,2018,K2,8.32727,0.0769,2.03,21.3,0,750,G9,5315,0.79,0.87,-0.09,4.59,102.564,10.985,9.05,10.7861
K2-233 b,K2-233,1,3,Transit,2018,K2,2.4675,0.03308,1.343,11.26,0.079,1121,K3,5033,0.71,0.79,-0.09,4.64,67.5062,10.883,8.375,10.4191
K2-233 c,K2-233,1,3,Transit,2018,K2,7.06005,0.06666,1.281,12.81,0.2002,790,K3,5033,0.71,0.79,-0.09,4.64,67.5062,10.883,8.375,10.4191
K2-233 d,K2-233,1,3,Transit,2018,K2,24.3645,0.15224,2.358,21.14,0.1999,523,K3,5033,0.71,0.79,-0.09,4.64,67.5062,10.883,8.375,10.4191
K2-237 b,K2-237,1,1,Transit,2018,K2,2.1805577,0.0353,18.405,392.83788,0,1838,F9 V,6099,1.38,1.23,0,4.27,314.995,11.602,10.217,11.4668
K2-238 b,K2-238,1,1,Transit,2018,K2,3.20466,0.046,14.572,273.3338,0,1587,G2 V,5630,1.59,1.19,0.34,4.11,537.963,13.973,12.032,13.6635
K2-24 b,K2-24,1,2,Transit,2016,K2,20.88977,0.154,5.4,19,0.06,709,G9 V,5625,1.16,1.07,0.34,4.29,170.562,11.275,9.18,10.9072
K2-24 c,K2-24,1,2,Transit,2016,K2,42.3391,0.247,7.5,15.4,0.07,560,G9 V,5625,1.16,1.07,0.34,4.29,170.562,11.275,9.18,10.9072
K2-260 b,K2-260,1,1,Transit,2018,K2,2.6266657,0.0404,17.396,451.3186,0,1957,F6 V,6367,1.69,1.39,-0.14,4.15,663.834,12.624,11.093,12.4667
K2-261 b,K2-261,1,1,Transit,2018,K2,11.63344,0.102,9.528,70.87609,0.39,1080,G7 IV/V,5537,1.65,1.1,0.36,4.21,213.283,10.612,8.89,10.4594
K2-263 b,K2-263,1,1,Transit,2018,K2,50.818947,0.2573,2.41,14.8,0.14,470,G9 V,5368,0.85,0.88,-0.08,4.51,162.481,11.568,9.748,11.4055
K2-264 b,K2-264,1,2,Transit,2018,K2,5.840002,0.05023,2.231,5.61,0.5,496,M2.5 V,3660,0.47,0.5,-0.013,4.78,185.605,16.701,12.183,15.6625
K2-264 c,K2-264,1,2,Transit,2018,K2,19.660302,0.11283,2.668,7.6,0.45,331,M2.5 V,3660,0.47,0.5,-0.013,4.78,185.605,16.701,12.183,15.6625
K2-28 b,K2-28,1,1,Transit,2016,K2,2.260455,0.0214,2.32,5.99,0,568,M4,3214,0.29,0.26,0.26,4.93,62.9969,16.526,10.746,14.6799
K2-285 b,K2-285,1,4,Transit,2018,K2,3.471745,0.03817,2.59,9.68,0,1089,K2 V,4975,0.79,0.83,0,4.4,154.961,12.075,9.971,11.804
K2-285 c,K2-285,1,4,Transit,2018,K2,7.138048,0.0824,3.53,15.68,0,741,K2 V,4975,0.79,0.83,0,4.4,154.961,12.075,9.971,11.804
K2-285 d,K2-285,1,4,Transit,2018,K2,10.45582,0.1178,2.48,6.5,0,620,K2 V,4975,0.79,0.83,0,4.4,154.961,12.075,9.971,11.804
K2-285 e,K2-285,1,4,Transit,2018,K2,14.76289,0.18041,1.95,10.7,0,501,K2 V,4975,0.79,0.83,0,4.4,154.961,12.075,9.971,11.804
K2-29 b,K2-29,2,1,Transit,2016,K2,3.2588321,0.04217,13.339,232.0159,0.066,1171,G7 V,5358,0.86,0.94,0.16,4.54,178.475,12.532,10.062,12.2008
K2-292 b,K2-292,1,1,Transit,2019,K2,16.9841,0.13,2.63,24.5,0.04,795,G3 V,5725,1.09,1,0.07,4.33,114.293,9.885,8.407,9.75597
K2-295 b,K2-295,1,1,Transit,2018,K2,4.024867,0.0451,10.054,106.47305,0,852,K5 V,4444,0.7,0.74,0.14,4.63,232.801,13.8941,11.135,13.5184
K2-3 b,K2-3,1,3,Transit,2015,K2,10.054626,0.074,1.98,6.48,0,504,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,4.73,44.0727,12.168,8.561,11.4785
K2-3 c,K2-3,1,3,Transit,2015,K2,24.646582,0.1345,1.56,2.14,0,374,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,4.73,44.0727,12.168,8.561,11.4785
K2-3 d,K2-3,1,3,Transit,2015,K2,44.55646,0.2097,1.53,2.8,0,282,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,4.73,44.0727,12.168,8.561,11.4785
K2-30 b,K2-30,1,1,Transit,2016,K2,4.098503,0.04839,11.646,184.02357,0,1092,G6 V,5425,0.84,0.9,-0.15,4.54,333.042,13.547,11.088,13.2056
