pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0.571331,0.0134,1.82,7.72,0,2119,G5 V,5617,0.98,0.97,0.13,4.45,244.59,12.101,10.344,11.9535
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,13.339079,0.1091,2.73,5.8,0.18,741,G5 V,5617,0.98,0.97,0.13,4.45,244.59,12.101,10.344,11.9535
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,3.5951,0.047,1.95,8.75,0.06,1616,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,15.624,0.13,3.67,14.67,0.07,990,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,35.747,0.22,3.94,10.18,0.15,752,G8 IV/V,5430,1.71,1.05,0.2,3.99,321.296,11.429,9.714,11.4019
G 9-40 b,G 9-40,1,1,Transit,2019,K2,5.746007,0.0385,2.025,4.76,0,456,M2.5 V,3348,0.31,0.29,0.04,4.93,27.9276,13.821,9.19,12.7331
GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,1.628931,0.0153,1.13,1.66,0.22,529,M4.5 V,3270,0.21,0.18,-0.12,4.88,12.613,13.68,8.322,12.138
GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,La Silla Observatory,8.929,0.0476,1.43,2.64,0.27,300,M4.5 V,3270,0.21,0.18,-0.12,5.02,12.613,13.68,8.322,12.138
GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,1.58040433,0.0149,2.742,8.17,0.063,596,M4 V,3250,0.21,0.18,0.29,5.03,14.6427,15.1,8.782,13.0089
GJ 1252 b,GJ 1252,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.5182349,0.00916,1.193,2.09,0,1089,M3,3458,0.39,0.38,0.1,4.89,20.373,12.68,7.915,11.2364
GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.1915,2.61,22.7,0.188,422,K4.5,4640,0.69,0.73,0.003,4.61,16.32,8.08,5.375,7.67906
GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,W. M. Keck Observatory,11.4407,0.072,1.55,3.03,0.094,550,M1,3607,0.38,0.38,-0.34,4.87,3.56228,8.09,4.018,7.2162
GJ 251 b,GJ 251,1,1,Radial Velocity,2020,W. M. Keck Observatory,14.238,0.0818,1.83,4,0.1,351,M3.0 V,3451,0.36,0.36,-0.03,4.96,5.58057,9.89,5.275,8.85518
GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,133.71,0.49,13.1,1071.04,0.511,350,G6 V,5540,0.9,0.9,0.1,4.7,17.5559,6.59,4.859,6.39729
GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,Calar Alto Observatory,24.45,0.141,3.19,10.27,0.11,391,M0.0 V,4005,0.58,0.64,-0.03,4.68,6.33256,7.7,4.136,7.04775
GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,3.3366496,0.0355,4.57,13.9,0.017,594,M1.5,3600,0.55,0.54,0.2,4.7,29.4214,12.332,7.989,11.3537
GJ 3473 b,GJ 3473,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.1980035,0.01589,1.264,1.86,0,773,M4,3347,0.36,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,Multiple Observatories,15.509,0.0876,2.63,7.41,0,329,M4,3347,0.36,0.36,0.11,4.81,27.3644,13.74,8.829001,12.465
GJ 3942 b,GJ 3942,1,1,Radial Velocity,2017,Roque de los Muchachos Observatory,6.905,0.0608,2.57,7.14,0.121,590,M0,3867,0.61,0.63,-0.04,4.65,16.9287,10.166,6.331,9.40765
GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,50.8,0.2324,2.63,7.6,0.45,309,K7 V,4120,0.68,0.65,0.24,4.65,11.8893,8.31,4.979,7.72808
GJ 414 A c,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,749.83,1.4,8.4,53.83,0.105,125,K7 V,4120,0.68,0.65,0.24,4.65,11.8893,8.31,4.979,7.72808
GJ 436 b,GJ 436,1,1,Radial Velocity,2004,W. M. Keck Observatory,2.64388312,0.0291,4.17,22.1,0.13827,686,M2.5 V,3586.11,0.46,0.47,0.099,4.79,9.75321,10.67,6.073,9.57148
GJ 486 b,GJ 486,1,1,Radial Velocity,2021,Calar Alto Observatory,1.467119,0.01734,1.305,2.82,0.05,701,M3.5 V,3340,0.33,0.32,0.07,4.89,8.07426,11.39,6.362,10.094
GJ 720 A b,GJ 720 A,2,1,Radial Velocity,2021,Roque de los Muchachos Observatory,19.466,0.119,3.77,13.64,0.12,401,M0.5 V,3837,0.56,0.57,-0.14,4.71,15.5575,9.84,6.082,9.10496
GJ 740 b,GJ 740,1,1,Radial Velocity,2021,Multiple Observatories,2.37756,0.029,1.53,2.96,0.24,829,M1.0 V,3913,0.56,0.58,0.08,4.68,11.1017,9.22,5.357,8.45636
GJ 887 b,GJ 887,1,2,Radial Velocity,2020,La Silla Observatory,9.262,0.068,1.88,4.2,0,468,M1 V,3688,0.47,0.49,-0.06,4.78,3.29,7.56,3.465,6.52199
GJ 9827 b,GJ 9827,1,3,Transit,2017,K2,1.2089819,0.0188,1.577,4.91,0,1044,K6 V,4340,0.6,0.61,-0.26,4.66,29.661,10.37,7.193,9.83773
GJ 9827 c,GJ 9827,1,3,Transit,2017,K2,3.6480957,0.03925,1.241,0.84,0,722,K6 V,4340,0.6,0.61,-0.26,4.66,29.661,10.37,7.193,9.83773
GJ 9827 d,GJ 9827,1,3,Transit,2017,K2,6.2014698,0.05591,2.022,4.04,0,605,K6 V,4340,0.6,0.61,-0.26,4.66,29.661,10.37,7.193,9.83773
GPX-1 b,GPX-1,1,1,Transit,2021,Acton Sky Portal Observatory,1.744579,0.0338,16.477,6261.21962,0,2300,F2,7000,1.56,1.68,0.35,4.27,655.013,12.316,11.181,12.2228
Gl 378 b,Gl 378,1,1,Radial Velocity,2019,Haute-Provence Observatory,3.822,0.039435,3.66,13.02,0.109,830,M1,3879,0.56,0.56,0.06,4.69,14.9545,10.03,6.16,9.26515
Gl 686 b,Gl 686,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,15.53,0.091,2.46,6.624,0.05,379,M1.0 V,3656,0.43,0.43,-0.23,4.87,8.15728,9.62,5.572,8.73899
HAT-P-1 b,HAT-P-1,2,1,Transit,2006,HATNet,4.46529976,0.05561,14.785,166.86075,0,1322,G0 V,5980,1.17,1.15,0.13,4.36,158.979,9.827,8.858,10.1786
HAT-P-11 b,HAT-P-11,1,2,Transit,2008,HATNet,4.88780244,0.05254,4.36,26.69772,0.218,838,K4,4780,0.68,0.81,0.31,4.66,37.7647,9.46,7.009,9.15098
HAT-P-12 b,HAT-P-12,1,1,Transit,2009,HATNet,3.2130598,0.0384,10.749,67.059,0,963,K4,4650,0.7,0.73,-0.29,4.61,142.751,12.665,10.108,12.4197
HAT-P-13 b,HAT-P-13,1,2,Transit,2009,HATNet,2.91625,0.04383,14.258,270.462,0.0133,1740,G4,5653,1.76,1.32,0.46,4.13,246.81,10.421,8.975,10.4168
HAT-P-13 c,HAT-P-13,1,2,Radial Velocity,2009,W. M. Keck Observatory,446.27,1.258,12.3,4538.421,0.6616,340,G4,5653,1.76,1.32,0.46,4.13,246.81,10.421,8.975,10.4168
HAT-P-14 b,HAT-P-14,2,1,Transit,2010,HATNet,4.62767,0.0596,15.917,1093.3352,0.11,1624,F5 V,6600,1.82,2.65,0.11,4.25,222.663,9.988,8.851,9.87283
HAT-P-15 b,HAT-P-15,1,1,Transit,2010,HATNet,10.8635,0.0965,11.882,616.5902,0.19,904,G5,5568,1.07,1,0.22,4.38,192.516,12.41,9.641,11.7232
HAT-P-16 b,HAT-P-16,3,1,Transit,2010,HATNet,2.77596,0.0413,14.448,1332.605,0.036,1626,F8,6158,1.24,1.22,0.17,4.34,226.637,10.911,9.553001,10.7568
HAT-P-17 b,HAT-P-17,1,2,Transit,2010,HATNet,10.33852,0.0882,11.769,184.3414,0.35,792,K,5246,0.87,0.99,0,4.53,92.3831,10.375,8.544,10.2743
HAT-P-18 b,HAT-P-18,1,1,Transit,2010,HATNet,5.508023,0.0559,11.153,62.61,0.084,852,K2,4803,0.75,0.77,0.1,4.57,161.4,12.597,10.234,12.3682
HAT-P-19 b,HAT-P-19,1,1,Transit,2010,HATNet,4.008778,0.0466,12.689,92.802,0.067,1010,K1,4990,0.82,0.84,0.23,4.54,202.078,12.826,10.546,12.5567
HAT-P-2 b,HAT-P-2,1,1,Transit,2007,HATNet,5.6335158,0.06814,10.66,2765.121,0.5172,1540,F8,6380,1.39,1.33,0.18,4.16,127.774,8.72,7.603,8.59842
HAT-P-20 b,HAT-P-20,1,1,Transit,2010,HATNet,2.875317,0.0361,9.718,2302.899,0.015,970,K3,4595,0.69,0.76,0.35,4.63,71.0374,11.231,8.601,10.9903
HAT-P-21 b,HAT-P-21,1,1,Transit,2010,HATNet,4.12448,0.0494,12.442,1547.8321,0.23,1283,G3,5588,1.21,1.24,0.01,4.33,277.278,11.459,10.111,11.5583
HAT-P-22 b,HAT-P-22,2,1,Transit,2010,HATNet,3.21222,0.0414,12.89,785.0401,0.02,1463,G5 V,5302,1.11,1.13,0.24,4.36,81.7647,9.763,7.837,9.51936
HAT-P-23 b,HAT-P-23,1,1,Transit,2010,HATNet,1.21288,0.0232,12.218,425.8922,0.11,1951,G0,5905,0.96,0.58,0.15,4.33,364.813,11.937,10.791,12.1741
HAT-P-24 b,HAT-P-24,2,1,Transit,2010,HATNet,3.35524,0.04651,14.572,238.3725,0.07,1637,F8,6373,1.38,1.37,-0.16,4.27,415.344,11.762,10.543,11.6396
HAT-P-25 b,HAT-P-25,1,1,Transit,2010,HATNet,3.65281514,0.0466,12.722,180.84527,0.023,1182,G5,5519,0.92,1.01,0.294,4.52,300.384,13.146,10.815,12.8416
HAT-P-26 b,HAT-P-26,1,1,Transit,2010,HATNet,4.23452,0.0479,7.062,22.2481,0.12,1001,K1,5079,0.87,1.12,-0.04,4.56,141.837,11.757,9.581,11.4641
HAT-P-28 b,HAT-P-28,1,1,Transit,2011,HATNet,3.257215,0.0434,13.585,198.953,0.051,1384,G3,5680,1.1,1.02,0.12,4.36,401.319,13.098,11.104,12.8718
HAT-P-29 b,HAT-P-29,2,1,Transit,2011,HATNet,5.72319,0.0667,13.115,279.6904,0.09,1271,F8,6087,1.3,1.45,0.21,4.34,313.576,11.825,10.297,11.7336
HAT-P-3 b,HAT-P-3,2,1,Transit,2007,HATNet,2.8997,0.03866,10.536,206.5895,0,1189,K,5185,0.87,1.06,0.27,4.56,134.554,11.856,9.448,11.2795
HAT-P-30 b,HAT-P-30,2,1,Transit,2011,HATNet,2.8106,0.0419,16.141,263.7989,0.04,1630,F7,6304,1.31,1.55,0.13,4.36,213.985,10.352,9.151,10.2998
HAT-P-33 b,HAT-P-33,2,1,Transit,2011,HATNet,3.47447,0.04995,20.737,292.4036,0,1782,F4,6446,1.79,1.82,0.05,4.15,396.11,11.032,10.004,11.0238
HAT-P-36 b,HAT-P-36,1,1,Transit,2011,HATNet,1.32734683,0.0241,14.314,587.41341,0.063,1781,G5 V,5620,1.04,1.03,0.25,4.42,294.419,12.146,10.603,12.093
HAT-P-38 b,HAT-P-38,1,1,Transit,2012,HATNet,4.640382,0.0523,9.247,84.857,0.067,1082,G5,5330,0.92,0.89,0.06,4.37,255.206,12.525,10.501,12.3021
HAT-P-4 b,HAT-P-4,2,1,Transit,2007,HATNet,3.056536,0.04438,14.28,213.255,0,1686,F,5860,1.62,0.56,0.24,4.14,320.451,11.118,9.770001,11.0634
HAT-P-43 b,HAT-P-43,1,1,Transit,2012,HATNet,3.3326414,0.0444,13.63,210.395,0.21,1353,F9,5693,1.08,1.03,0.2,4.38,528.825,13.279,11.764,13.2165
HAT-P-49 b,HAT-P-49,1,1,Transit,2014,HATNet,2.69155,0.04378,17.822,699.226,0,2131,F,6820,2.06,2.22,0.07,4.1,350.351,10.205,9.346,10.2071
HAT-P-5 b,HAT-P-5,1,1,Transit,2007,HATNet,2.78849,0.04073,13.563,311.4734,0,1539,G,5960,1.12,1.04,0.24,4.37,303.336,11.954,10.481,11.8224
HAT-P-50 b,HAT-P-50,1,1,Transit,2015,HATNet,3.1220109,0.0453,14.437,429.0705,0.115,1862,F5,6280,1.7,1.27,-0.18,4.07,515.458,11.703,10.5,11.6722
HAT-P-51 b,HAT-P-51,1,1,Transit,2015,HATNet,4.2180278,0.05069,14.493,98.20947,0.123,1192,G7,5449,1.04,0.98,0.27,4.39,440.089,13.51,11.614,13.2846
HAT-P-52 b,HAT-P-52,1,1,Transit,2015,HATNet,2.7535953,0.03694,11.31,259.98494,0.047,1218,K1,5131,0.89,0.89,0.28,4.48,361.155,14.107,11.621,13.787
HAT-P-54 b,HAT-P-54,1,1,Transit,2015,HATNet,3.799847,0.04117,10.581,241.5508,0.074,818,K7,4390,0.62,0.65,-0.127,4.67,143.651,13.398,10.326,13.0172
HAT-P-56 b,HAT-P-56,1,1,Transit,2015,HATNet,2.79083,0.0423,16.926,734.1873,0.29,1840,F8,6566,1.47,1.42,0,3.39,320.639,10.92,9.83,10.8245
HAT-P-57 b,HAT-P-57,3,1,Transit,2015,HATNet,2.4653,0.0406,19.504,448.1403,0,2200,A8 V,6330,1.85,2.77,-0.25,4.25,279.86,10.639,9.433,10.4253
HAT-P-65 b,HAT-P-65,1,1,Transit,2016,HATNet,2.6054552,0.03951,21.185,167.49641,0.304,1930,G2,5835,1.86,1.21,0.1,3.98,738.519,13.121,11.528,12.9952
HAT-P-66 b,HAT-P-66,1,1,Transit,2016,HATNet,2.972086,0.04363,17.822,248.86089,0.09,1896,G0,6002,1.88,1.25,0.035,3.99,935.456,13.014,11.675,12.8922
HAT-P-68 b,HAT-P-68,1,1,Transit,2020,HATNet,2.29840551,0.02996,12.016,230.10892,0.041,1028,K,4508,0.67,0.68,-0.059,4.62,202.152,13.802,11.019,13.5442
HAT-P-8 b,HAT-P-8,3,1,Transit,2008,HATNet,3.07634,0.04496,15.693,406.8224,0,1700,F6,6200,1.57,1.27,0.01,4.15,211.553,10.358,8.953,10.1489
HAT-P-9 b,HAT-P-9,1,1,Transit,2008,HATNet,3.92281072,0.05287,15.614,238.05467,0.084,1540,F7,6350,1.34,1.28,0.12,4.29,455.203,12.344,11.015,12.1536
HATS-11 b,HATS-11,1,1,Transit,2016,HATSouth,3.619188,0.0507,18.03,263.7989,0.34,1596,G0,6563,1.54,1.33,0.03,4.19,944.603,14.06,12.243,13.8333
HATS-12 b,HATS-12,1,1,Transit,2016,HATSouth,3.142702,0.0441,7.76,759.6137,0.085,1446,F,6357,1.17,1.16,-0.1,4.36,746.138,12.831,11.391,12.6766
HATS-15 b,HATS-15,1,1,Transit,2016,HATSouth,1.74748753,0.02712,12.386,689.6911,0.126,1505,G9 V,5311,0.92,0.87,0,4.45,1139.55,14.909,12.724,14.6473
HATS-16 b,HATS-16,1,1,Transit,2016,HATSouth,2.686502,0.03744,14.572,1039.3041,0,1592,G3 V,5738,1.24,0.97,-0.1,4.24,757.044,13.957,12.28,13.6864
HATS-17 b,HATS-17,1,1,Transit,2016,HATSouth,16.254611,0.1308,8.709,425.25654,0.029,814,G V,5846,1.09,1.13,0.3,4.42,400.331,12.402,10.698,12.2179
HATS-18 b,HATS-18,1,1,Transit,2016,Multiple Observatories,0.83784,0.0174,14.897,629.14449,0.166,2069,G V,5600,1.02,1.04,0.28,4.44,624.368,14.188,12.289,13.8786
HATS-2 b,HATS-2,1,1,Transit,2013,HATSouth,1.354133,0.023,13.092,427.463,0,1577,K,5227,0.9,0.88,0.15,4.48,341.925,13.565,11.386,13.3419
HATS-22 b,HATS-22,1,1,Transit,2017,HATSouth,4.7228124,0.05025,10.682,870.8542,0.079,858,K V,4803,0.69,0.76,0,4.64,229.518,13.397,10.942,13.1225
HATS-23 b,HATS-23,1,1,Transit,2017,HATSouth,2.1605156,0.03397,20.849,467.2101,0.114,1654,G V,5780,1.2,1.12,0.28,4.33,639.004,13.84,12.262,13.752
HATS-24 b,HATS-24,1,1,Transit,2017,HATSouth,1.3484978,0.0238,15.637,718.2958,0,2166,F V,6125,1.12,1.07,-0.229,4.37,494.182,12.915,11.382,12.6911
HATS-25 b,HATS-25,1,1,Transit,2016,HATSouth,4.2986432,0.05163,14.123,194.82979,0.176,1277,G,5715,1.11,0.99,0.02,4.35,471.158,13.172,11.416,12.9353
HATS-26 b,HATS-26,1,1,Transit,2016,HATSouth,3.3023881,0.04735,19.616,206.5895,0.245,1918,F,6071,2.04,1.3,-0.02,3.94,861.843,13.006,11.435,12.8431
HATS-27 b,HATS-27,1,1,Transit,2016,HATSouth,4.637038,0.0611,16.814,168.4499,0.581,1659,F,6438,1.74,1.42,0.09,4.11,816.988,12.782,11.55,12.6792
HATS-28 b,HATS-28,1,1,Transit,2016,HATSouth,3.1810781,0.04131,13.384,213.58176,0.202,1253,G,5498,0.92,0.93,0.01,4.48,535.383,13.981,12.086,13.7929
HATS-29 b,HATS-29,1,1,Transit,2016,HATSouth,4.6058749,0.05475,14.022,207.54299,0.158,1212,G,5670,1.07,1.03,0.16,4.39,353.891,12.62,10.877,12.4594
HATS-3 b,HATS-3,1,1,Transit,2013,HATSouth,3.547851,0.0485,15.48,340.382,0,1648,F,6351,1.4,1.21,-0.157,4.22,411.211,12.433,10.694,11.8914
HATS-30 b,HATS-30,2,1,Transit,2016,HATSouth,3.1743516,0.04354,13.171,224.38798,0.096,1414,G,5943,1.06,1.09,0.06,4.42,342.14,12.283,10.793,12.0815
