pl_name,hostname,starsnum,planetsnum,discoverymethod,disc_year,disc_facility,orbital_period,pl_orbsmax,pl_radius,pl_mass,pl_orbeccen,pl_eqtemp,st_spectype,st_eff_temp,st_radius,st_mass,st_met,st_surface_gravity,sy_distance,sy_vmag,sy_kmag,sy_gaiamag
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,2.21857567,0.03126,12.666,359.1479,0,1209,K0-2 V,5052,0.75,0.79,-0.02,4.49,19.7638,7.67,5.541,7.41432
HD 190007 b,HD 190007,1,1,Radial Velocity,2020,Multiple Observatories,11.72,0.092,4.21,16.46,0.14,,K3/4V,4610,0.79,0.77,0.16,4.58,12.7141,7.46,4.796,7.06341
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,Haute-Provence Observatory,2915.03687,3.97,13.5,489.4582,0.31,,G6 IV,5552,1.14,0.99,0.24,4.32,16.0069,5.738,4.076,5.55436
HD 190360 c,HD 190360,2,2,Radial Velocity,2005,W. M. Keck Observatory,17.111,0.1304,4.59,19.069,0.237,,G6 IV,5549,1.17,0.98,0.19,4.29,16.0069,5.738,4.076,5.55436
HD 190647 b,HD 190647,1,1,Radial Velocity,2007,La Silla Observatory,1176.45,2.231,13.4,630.89255,0.224,,G5 V,5656,1.38,1.07,0.23,4.16,54.4738,7.78,6.161,7.5942
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,4885,5.5,13.1,985.2,0.57,,F8 V,5988,1.53,0.91,-0.48,4.02,148.187,8.76,7.319,8.61126
HD 191806 b,HD 191806,1,1,Radial Velocity,2016,Haute-Provence Observatory,1606.3,2.8,12.6,2707.9116,0.259,,K0,6010,1.4,1.14,0.3,4.45,65.6668,8.09,6.639,7.93339
HD 191939 b,HD 191939,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.880403,0.0814,3.42,11.6,,812,G8 V,5427,0.94,0.92,-0.16,4.4,53.6089,8.97,7.18,8.77476
HD 191939 c,HD 191939,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),28.58059,0.1762,3.23,10.5,,552,G8 V,5427,0.94,0.92,-0.16,4.4,53.6089,8.97,7.18,8.77476
HD 191939 d,HD 191939,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),38.3561,0.215,3.16,10.1,,499,G8 V,5427,0.94,0.92,-0.16,4.4,53.6089,8.97,7.18,8.77476
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,24.3556,0.15,14.2,177.9848,0.05,486,K0 V,4976,0.74,0.66,0.03,4.51,19.6359,7.79,5.537,7.49558
HD 192310 b,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,74.72,0.32,4.27,16.9,0.13,355,K3V,5166,0.86,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 192310 c,HD 192310,1,2,Radial Velocity,2011,La Silla Observatory,525.8,1.18,5.25,24,0.32,185,K3V,5166,0.81,0.8,-0.04,4.51,8.79687,5.73,3.501,5.47661
HD 192699 b,HD 192699,1,1,Radial Velocity,2007,Lick Observatory,340.94,1.063,13.4,666.17168,0.082,,G8 IV,5041,4.41,1.38,-0.15,3.25,71.8627,6.45591,4.366,6.21085
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,Lick Observatory,18.20132,0.14,13,1264.9634,0.01,,G3 IV-V,5751,1.48,1.21,0.05,4.18,37.6681,6.87591,5.256,6.72911
HD 196050 b,HD 196050,3,1,Radial Velocity,2002,Anglo-Australian Telescope,1378,2.51,13.1,1010.6994,0.23,,G4 V,5879,1.42,1.31,0.21,4.25,50.6742,7.5,6.034,7.3407
HD 196067 b,HD 196067,2,1,Radial Velocity,2012,La Silla Observatory,3638,5.02,12.7,2192.9,0.66,,G1 V,6017,1.73,1.29,0.18,4.24,39.9346,6.51,5.08,6.33009
HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,Haute-Provence Observatory,1333,2.37,13.2,819.97,0.48,,F8 V,6254,1.31,1.28,0.22,4.31,34.1692,6.39677,5.072,6.26141
HD 197037 b,HD 197037,2,1,Radial Velocity,2012,McDonald Observatory,1035.7,2.07,13.9,251,0.22,,F7 V,6150,1.1,1.11,-0.2,4.4,33.1944,6.82294,5.488,6.67106
HD 19994 b,HD 19994,3,1,Radial Velocity,2003,La Silla Observatory,466.2,1.305,13.6,435.41,0.063,,F8 V,6188,1.8,1.36,0.27,4.29,22.5242,5.06345,3.748,4.93038
HD 20003 b,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,11.8482,0.0974,3.43,11.66,0.36,,G8 V,5494,0.92,0.88,0.04,4.41,41.8316,8.39,6.647,8.19184
HD 20003 c,HD 20003,1,2,Radial Velocity,2019,La Silla Observatory,33.9239,0.1964,3.89,14.44,0.1,,G8 V,5494,0.92,0.88,0.04,4.41,41.8316,8.39,6.647,8.19184
HD 200964 b,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,606.3,1.565,13.5,508.21017,0.087,,G8 IV,4982,4.92,1.39,-0.15,3.22,72.5922,6.48605,4.286,6.23723
HD 200964 c,HD 200964,1,2,Radial Velocity,2010,Lick Observatory,852.5,1.96,13.7,385.84562,0.243,,G8 IV,4982,4.92,1.39,-0.15,3.22,72.5922,6.48605,4.286,6.23723
HD 202206 c,HD 202206,2,1,Radial Velocity,2004,La Silla Observatory,1260,2.41,12.2,5689.157,0.22,,G6 V,5766,1.04,1.07,0.3,4.5,45.9665,8.08,6.485,7.91051
HD 202696 b,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,517.8,1.566,,634.38868,0.011,,K0 III-IV,5040,6.43,1.91,0.02,3.11,188.546,8.23,5.877,7.95929
HD 202696 c,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,946.6,2.342,,592.43512,0.028,,K0 III-IV,5040,6.43,1.91,0.02,3.11,188.546,8.23,5.877,7.95929
HD 202772 A b,HD 202772 A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.308958,0.05208,17.318,323.23311,0.038,2132,,6272,2.59,1.72,0.3,3.85,161.498,8.324,6.959,8.22688
HD 203030 b,HD 203030,1,1,Imaging,2006,Palomar Observatory,,487.1,14.46,3496.11248,,1040,G8 V,5603,0.86,0.94,0.3,4.64,39.2503,8.45,6.653,8.24663
HD 203473 b,HD 203473,1,1,Radial Velocity,2018,W. M. Keck Observatory,1552.9,2.73,12.6,2479.074,0.289,,G5,5780,1.33,1.12,0.19,4.09,72.6402,8.23,6.718,8.07691
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1120,2.2,12.7,1999.1507,0.71,,G2/G3 IV/V,5945,1.19,1.23,0.3,4.38,85.6922,9,7.549,8.85974
HD 204313 b,HD 204313,1,2,Radial Velocity,2010,La Silla Observatory,1920.09998,3.07,13.1,1099.6918,0.23,,G5 V,5783,1.1,1.03,0.16,4.37,47.7945,7.99,6.459,7.83246
HD 204313 c,HD 204313,1,2,Radial Velocity,2015,La Silla Observatory,34.905,0.2099,4.38,17.6,0.155,,G5 V,5776,1.13,1.02,0.18,4.38,47.7945,7.99,6.459,7.83246
HD 204941 b,HD 204941,2,1,Radial Velocity,2011,La Silla Observatory,1733,2.55,10.1,73.1009,0.37,,K1/2V,5026,0.78,0.58,-0.19,4.42,28.7165,8.45,6.357,8.19092
HD 205739 b,HD 205739,1,1,Radial Velocity,2008,Las Campanas Observatory,279.8,0.896,13.6,435.41,0.27,,F7 V,6176,1.33,1.22,0.19,4.29,92.5087,8.56,7.299,8.41991
HD 206255 b,HD 206255,1,1,Radial Velocity,2019,Las Campanas Observatory,96.045,0.461,6.47,34.2,0.23,,G5 IV/V,5635,2.22,1.42,,3.75,75.2363,7.62,5.979,7.44849
HD 206610 b,HD 206610,1,1,Radial Velocity,2009,W. M. Keck Observatory,673.2,1.74,13.4,647.10188,0.1,,K0 III,4842,6.12,1.55,0.14,3.22,147.192,8.34,5.952,8.06506
HD 20781 b,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,5.3135,0.0529,1.21,1.93,0.1,,K0 V,5256,0.83,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 c,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,13.8905,0.1004,2.17,5.33,0.09,,K0 V,5256,0.83,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 d,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,29.158,0.1647,3.25,10.61,0.11,,K0 V,5256,0.83,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20781 e,HD 20781,2,5,Radial Velocity,2019,La Silla Observatory,85.5073,0.3374,3.83,14.03,0.06,,K0 V,5256,0.83,0.7,-0.11,4.37,35.9715,8.48,6.553,8.2372
HD 20782 b,HD 20782,2,5,Radial Velocity,2006,Anglo-Australian Telescope,597.0643,1.3649,13.6,472.83,0.95,,G1.5 V,5782.13,1.13,1.04,-0.054,4.35,35.9864,7.36,5.827,7.19283
HD 207832 b,HD 207832,3,2,Radial Velocity,2012,W. M. Keck Observatory,160.07,0.586,14.2,177.9848,0.197,,G5 V,5726,0.89,1.05,0.14,4.48,58.9291,8.78,7.207,8.61176
HD 207832 c,HD 207832,3,2,Radial Velocity,2012,W. M. Keck Observatory,1155.7,2.112,14,232.0159,0.27,,G5 V,5710,0.9,0.94,0.14,4.48,58.9291,8.78,7.207,8.61176
HD 20794 b,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,18.315,0.1207,1.45,2.7,0,660,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 20794 c,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,40.114,0.2036,1.35,2.4,0,508,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 20794 d,HD 20794,1,4,Radial Velocity,2011,La Silla Observatory,90.309,0.3499,2.04,4.8,0,388,G8 V,5401,0.92,0.7,-0.4,4.22,6.00278,4.26,2.636,4.06635
HD 20794 e,HD 20794,1,4,Radial Velocity,2017,La Silla Observatory,147.02,0.509,2.03,4.77,0.29,,G8,5401,0.92,0.81,-0.403,4.46,6.00278,4.26,2.636,4.06635
HD 208487 b,HD 208487,1,1,Radial Velocity,2004,Anglo-Australian Telescope,130.08,0.524,14.2,165.265,0.24,,G2 V,6067,1.2,1.13,0.022,4.33,45.147,7.47,6.159,7.33164
HD 208527 b,HD 208527,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,875.5,2.1,12.5,3146.4,0.08,,M1 III,4035,51.1,1.6,-0.09,1.4,312.202,6.38984,2.224,5.61607
HD 20868 b,HD 20868,1,1,Radial Velocity,2008,La Silla Observatory,380.85001,0.95,13.7,397.2875,0.75,,K3/4 IV,4802,0.76,0.39,0.05,4.26,47.7223,9.92,7.543,9.61323
HD 208897 b,HD 208897,1,1,Radial Velocity,2017,Multiple Observatories,352.7,1.05,13.6,444.962,0.07,,K0,4860,4.98,1.25,0.21,3.13,67.4872,6.50821,4.198,6.23739
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,W. M. Keck Observatory,3.52474859,0.04707,15.581,232.0159,0,1459,G0 V,6091,1.19,1.23,0.01,4.45,48.3016,7.65,6.308,7.50866
HD 210193 b,HD 210193,1,1,Radial Velocity,2019,Las Campanas Observatory,649.918,1.487,14.3,153.1,0.24,,G3 V,5790,1.06,1.04,0.13,4.43,42.2029,7.83,6.31,7.6687
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,W. M. Keck Observatory,442.19,1.13,13.6,410.0007,0.48,,G0 V,5538,1.07,1.01,0.22,4.38,21.2985,6.54348,4.799,6.34701
HD 210702 b,HD 210702,1,1,Radial Velocity,2007,Lick Observatory,354.1,1.148,13.4,574.63664,0.028,,K1 III,4951,4.92,1.61,0.04,3.28,54.1963,5.93022,3.984,5.6807
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,223.8,0.768,12.8,1760.76937,0.084,4,F7 V,6273,1.21,1.2,0.18,4.3,83.0919,8.48,7.244,8.34865
HD 211810 b,HD 211810,1,1,Radial Velocity,2018,W. M. Keck Observatory,1558,2.656,14,212.9461,0.68,,G5,5652,1.13,1.03,0.17,4.26,64.6353,8.59,6.969,8.417831
HD 211970 b,HD 211970,1,1,Radial Velocity,2019,Las Campanas Observatory,25.201,0.143,3.66,13,0.15,,K7 V,4127,0.57,0.61,,4.69,13.1277,10.24,5.663,8.40444
HD 212301 b,HD 212301,2,1,Radial Velocity,2005,La Silla Observatory,2.24571,0.03,14.2,162.0933,0,,F8 V,6239,1.16,1.55,0.18,4.5,54.2304,7.76,6.466,7.63495
HD 212771 b,HD 212771,1,1,Radial Velocity,2009,W. M. Keck Observatory,380.7,1.19,13.3,759.6137,0.076,,G8 IV,5003,5.27,1.56,-0.21,3.31,111.155,7.6,5.496,7.35208
HD 213240 b,HD 213240,2,1,Radial Velocity,2001,La Silla Observatory,882.70001,1.89,12.8,1773.4914,0.42,,G0/1 V,5979,1.51,1.57,0.15,4.27,40.8707,6.81,5.354,6.65761
HD 213472 b,HD 213472,1,1,Radial Velocity,2021,Multiple Observatories,17000,13,13.1,1112.39942,0.53,,,5729.54,1.43,1.05,0.125,4.14,64.4527,8.17,6.609,8.01189
HD 213885 b,HD 213885,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1.008035,0.02012,1.745,8.83,0,2128,G,5978,1.1,1.07,-0.04,4.38,48.0883,7.95,6.419,7.80173
HD 213885 c,HD 213885,1,2,Radial Velocity,2019,Multiple Observatories,4.78503,0.056798,4.71,19.95,0,1265,G,5978,1.1,1.07,-0.04,4.38,48.0883,7.95,6.419,7.80173
HD 21411 b,HD 21411,1,1,Radial Velocity,2019,Las Campanas Observatory,84.288,0.362,9.52,65.9,0.4,,G8 V,5605,0.83,0.89,-0.265,4.51,29.1328,7.88,6.131,7.68183
HD 214823 b,HD 214823,2,1,Radial Velocity,2016,Haute-Provence Observatory,1854.4,3.23,12.1,6451.949,0.1641,,G0,5933,2.04,1.31,0.14,4.05,101.368,8.06,6.64,7.91589
HD 215152 b,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,5.75999,0.057638,1.19,1.819,0,,K3 V,4935,0.73,0.77,-0.1,4.4,21.5974,8.11,5.775,7.80163
HD 215152 c,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,7.28243,0.067393,1.17,1.72,0,,K3 V,4935,0.73,0.77,-0.1,4.4,21.5974,8.11,5.775,7.80163
HD 215152 d,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,10.86499,0.08799,1.48,2.801,0,,K3 V,4935,0.73,0.77,-0.1,4.4,21.5974,8.11,5.775,7.80163
HD 215152 e,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,25.1967,0.15417,1.51,2.877,0,,K3 V,4935,0.73,0.77,-0.1,4.4,21.5974,8.11,5.775,7.80163
HD 215497 b,HD 215497,1,2,Radial Velocity,2009,La Silla Observatory,3.93404,0.05,2.4,6.3566,0.16,,K3 V,5110,0.85,0.67,0.2,4.4,40.5468,8.96,6.784,8.68605
HD 215497 c,HD 215497,1,2,Radial Velocity,2009,La Silla Observatory,567.94,1.282,12.5,104.3,0.49,,K3 V,5113,0.9,0.87,0.23,4.31,40.5468,8.96,6.784,8.68605
HD 216435 b,HD 216435,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1311,2.56,13.7,400.4,0.07,,G0 V,5999,1.8,1.3,0.244,4.15,32.9834,6.03,4.612,5.88357
HD 216437 b,HD 216437,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1334.28,2.497,13.3,706.53609,0.317,,G2/3IV,5909,1.39,1.17,0.2,4.19,26.6902,6.04,4.518,5.89397
HD 216520 b,HD 216520,1,2,Radial Velocity,2020,Multiple Observatories,35.45,0.198,3.18,10.26,0.09,,K2,5103,0.76,0.82,-0.16,4.54,19.552,7.53,5.449,7.27896
HD 216520 c,HD 216520,1,2,Radial Velocity,2020,Multiple Observatories,154.43,0.528,3.03,9.44,0.12,,K2,5103,0.76,0.82,-0.16,4.54,19.552,7.53,5.449,7.27896
HD 216536 b,HD 216536,1,1,Radial Velocity,2015,McDonald Observatory,148.60001,0.61,13.8,333.7215,0.38,,K0,4639,9.83,0.81,-0.17,2.36,376.233,9.229,6.496,8.88324
HD 216770 b,HD 216770,1,1,Radial Velocity,2003,La Silla Observatory,118.45,0.46,14.1,181.1631,0.37,,G9 V CN+1,5399,0.93,0.74,0.27,4.37,36.6625,8.11,6.311,7.91638
HD 21693 b,HD 21693,1,2,Radial Velocity,2019,La Silla Observatory,22.6786,0.1455,2.8,8.23,0.12,,G8 V,5430,0.91,0.8,0,4.37,33.255,7.95,6.193,7.75701
HD 21693 c,HD 21693,1,2,Radial Velocity,2019,La Silla Observatory,53.7357,0.2586,4.34,17.37,0.07,,G8 V,5430,0.91,0.8,0,4.37,33.255,7.95,6.193,7.75701
HD 217107 b,HD 217107,1,2,Radial Velocity,1998,Lick Observatory,7.12682,0.08,13.6,413.179,0.13,,G8 IV,5622,1.11,1,0.36,4.34,20.0619,6.155,4.536,5.96401
HD 217107 c,HD 217107,1,2,Radial Velocity,2005,Lick Observatory,4270,5.32,13.2,826.32,0.517,,G8 IV,5575,1.2,0.98,0.28,4.27,20.0619,6.155,4.536,5.96401
HD 21749 c,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),7.78993,0.0695,0.892,3.7,,701,K4.5,4640,0.69,0.73,0.003,4.61,16.32,8.08,5.375,7.67906
HD 217786 b,HD 217786,2,1,Radial Velocity,2011,La Silla Observatory,1319,2.38,12.3,4131.62,0.4,,F8 V,5966,1.27,1.02,-0.135,4.35,55.4847,7.78,6.352,7.63573
HD 217850 b,HD 217850,1,1,Radial Velocity,2018,W. M. Keck Observatory,3501.3,4.56,12.1,6865.128,0.7621,,G8 V,5544,1.21,1.03,0.26,4.17,65.7969,8.520001,6.793,8.32065
HD 218566 b,HD 218566,1,1,Radial Velocity,2010,W. M. Keck Observatory,225.7,0.69,9.32,63.566,0.3,,K3V,4730,0.85,0.76,0.28,4.46,28.8274,8.6,6.223,8.27432
HD 219077 b,HD 219077,1,1,Radial Velocity,2012,La Silla Observatory,5501,6.22,12.5,3302.11,0.77,,G8 V,5362,1.91,1.05,-0.13,4,29.1864,6.12,4.287,5.91597
HD 219134 b,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,3.092926,0.03876,1.602,4.74,0,1015,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 c,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.76458,0.0653,1.511,4.36,0.062,782,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 d,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,46.859,0.237,1.61,16.17,0.138,410,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 f,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,22.717,0.1463,1.31,7.3,0.148,523,K3 V,4699,0.78,0.81,0.11,4.57,6.53127,5.56911,3.261,5.2402
HD 219134 g,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,94.2,0.3753,3.28,10.80622,0,,K3 V,4913,0.77,0.79,0.08,4.51,6.53127,5.56911,3.261,5.2402
HD 219134 h,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,2247,3.11,12.7,108.0622,0.06,,K3 V,4913,0.77,0.79,0.08,4.51,6.53127,5.56911,3.261,5.2402
HD 219415 b,HD 219415,1,1,Radial Velocity,2012,McDonald Observatory,2093.3,3.2,13.8,317.83,0.4,,K0 III,4820,2.9,1,-0.04,3.51,165.184,8.909,6.421,8.59745
HD 219666 b,HD 219666,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),6.03607,0.06356,4.71,16.6,0,1073,,5527,1.03,0.92,0.04,4.4,94.1719,9.809,8.158,9.64956
HD 219828 b,HD 219828,1,2,Radial Velocity,2007,La Silla Observatory,3.83492,0.0507,4.85,20.97678,0.101,,G0 IV,5807,1.61,1.18,0.18,4.17,73.114,8.04,6.53,7.88338
HD 219828 c,HD 219828,1,2,Radial Velocity,2016,Multiple Facilities,4682,5.79,12.3,4640.318,0.8102,,G0 IV,5807,1.61,1.18,0.18,4.08,73.114,8.04,6.53,7.88338
HD 220074 b,HD 220074,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,672.09998,1.6,12.2,5288.6912,0.14,,M2 III,3787,54.92,2.2,-0.25,1.3,324.54,6.40607,2.006,5.62737
HD 220197 b,HD 220197,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,1728,2.729,9.32,63.566,0.187,,G5,5683,0.98,0.91,-0.55,4.42,64.411,8.92,7.349,8.74481
HD 220689 b,HD 220689,1,1,Radial Velocity,2012,La Silla Observatory,2266.4,3.396,13.7,355.33394,0.054,,G3 V,5921,1.07,1.02,-0.07,4.36,46.8778,7.74,6.326,7.59438
HD 220773 b,HD 220773,1,1,Radial Velocity,2011,McDonald Observatory,3724.7,4.94,13.6,460.8,0.51,,F9,5940,1.68,1.16,0.09,4.24,50.5103,7.10831,5.651,6.94595
HD 220842 b,HD 220842,2,1,Radial Velocity,2016,Haute-Provence Observatory,218.47,0.74,13.1,1010.6994,0.404,,F8,5960,1.42,1.13,-0.17,4.24,64.6498,7.98,6.555,7.83398
HD 221287 b,HD 221287,1,1,Radial Velocity,2007,La Silla Observatory,456.1,1.25,13.1,982.05,0.08,,F7 V,6304,1.14,1.25,-0.03,4.43,55.9231,7.82,6.569,7.68153
HD 221416 b,HD 221416,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),14.2767,0.1228,9.17,60.5,0.115,1012,K0 IV/V,5080,2.94,1.21,-0.08,3.58,95.5483,8.15,6.043,7.90776
HD 221420 b,HD 221420,1,1,Radial Velocity,2019,Anglo-Australian Telescope,10090,10.15,12,7278.27052,0.14,,G2 IV-V,5847,1.95,1.35,0.33,4.03,31.1415,5.82,4.306,5.65862
HD 221585 b,HD 221585,1,1,Radial Velocity,2016,Haute-Provence Observatory,1173,2.306,13.5,511.7063,0.123,,G8 IV,5620,1.85,1.19,0.29,4.05,55.8535,7.457,5.781,7.28128
HD 222076 b,HD 222076,1,1,Radial Velocity,2016,Multiple Observatories,871,1.83,13.5,495.8148,0.08,,K0 III,4806,4.1,1.07,0.05,3.31,91.1538,7.47,5.127,7.18755
HD 222155 b,HD 222155,1,1,Radial Velocity,2011,Haute-Provence Observatory,3999,5.14,13.4,673.7996,0.16,,G2 V,5701,1.85,1.21,-0.18,3.99,50.6078,7.11716,5.51,6.93563
HD 222582 b,HD 222582,2,1,Radial Velocity,1999,W. M. Keck Observatory,572.38,1.34,12.6,2660.2371,0.73,,G5 V,5790,1.13,1.12,0.01,4.38,42.1586,7.68,6.173,7.51889
HD 224538 b,HD 224538,1,1,Radial Velocity,2016,Multiple Observatories,1189.1,2.28,12.8,1897.4451,0.464,,F9 IV/V,6097,1.54,1.34,0.27,4.19,79.0608,8.06,6.76,7.92192
HD 224693 b,HD 224693,1,1,Radial Velocity,2006,W. M. Keck Observatory,26.6904,0.191,14,222.481,0.104,,G2 V,5894,1.93,1.31,0.27,4.38,93.5015,8.23,6.808,8.08528
HD 22496 b,HD 22496,1,1,Radial Velocity,2021,Paranal Observatory,5.09071,0.051,2.22,5.57,,573,K5/M0V,4385,0.67,0.68,-0.08,4.69,13.5956,8.57,5.338,8.01945
HD 22781 b,HD 22781,1,1,Radial Velocity,2011,Haute-Provence Observatory,528.07,1.167,12.3,4338.2,0.8191,,K1,5027,0.74,0.75,-0.37,4.6,32.6034,8.78,6.607,8.52445
HD 23079 b,HD 23079,1,1,Radial Velocity,2001,Anglo-Australian Telescope,730.59998,1.6,13.2,829.5363,0.1,,F9.5 V,5974,1.07,1.12,-0.13,4.43,33.4591,7.12,5.705,6.96235
HD 23127 b,HD 23127,1,1,Radial Velocity,2006,Anglo-Australian Telescope,1211.17,2.37,13.5,485.32641,0.406,,G2 V,5843,1.49,1.21,0.29,4.15,93.8555,8.58,7.087,8.42019
HD 231701 b,HD 231701,1,1,Radial Velocity,2007,W. M. Keck Observatory,141.63,0.567,13.7,359.1479,0.13,,F8 V,6101,1.53,1.21,0.05,4.31,108.877,8.97,7.657,8.83051
HD 233604 b,HD 233604,1,1,Radial Velocity,2013,McDonald Observatory,192,0.747,12.7,2089.644,0.05,,K5,4791,10.9,1.5,-0.36,2.55,847.058,10.291,7.979,10.1054
HD 233832 b,HD 233832,2,1,Radial Velocity,2018,Roque de los Muchachos Observatory,2058,2.827,13.5,565.7374,0.359,,G0,4981,0.68,0.71,-0.66,4.49,58.742,10.15,8.013,9.94557
HD 23472 b,HD 23472,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),17.667,0.121,1.872,17.92,0,500,K3.5 V,4813,0.73,0.75,-0.19,4.38,39.0341,9.73,7.207,9.38476
HD 23472 c,HD 23472,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),29.625,0.17,2.149,17.18,0,613,K3.5 V,4813,0.73,0.75,-0.19,4.38,39.0341,9.73,7.207,9.38476
HD 23596 b,HD 23596,2,1,Radial Velocity,2003,Haute-Provence Observatory,1561,2.77,12.5,2870.0049,0.27,,F8 V,6040,1.53,1.47,0.28,4.23,52.0018,7.26122,5.874,7.10356
HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,13.671,0.0932,2.52,6.89,0.3,470,M0.0 V,3933,0.57,0.58,-0.03,4.7,15.2354,9.71,6.059,9.037911
HD 238914 b,HD 238914,1,1,Radial Velocity,2018,Multiple Observatories,4100,5.7,12.8,1906.98,0.56,,K7,4769,12.73,1.47,-0.25,2.37,519.452,8.770001,6.325,8.497
HD 240210 b,HD 240210,1,1,Radial Velocity,2009,McDonald Observatory,501.75,1.16,12.8,1655.82,0.15,,K3 III,4297,25.46,0.82,-0.18,2.31,372.405,8.270001,4.388,7.64476
HD 240237 b,HD 240237,1,1,Radial Velocity,2011,McDonald Observatory,745.70001,1.92,12.2,5050.3187,0.4,,K2 III,3926,71.23,8.76,-0.25,1.67,933.377,8.19,4.319,7.49317
HD 24040 b,HD 24040,1,2,Radial Velocity,2006,W. M. Keck Observatory,3668,4.92,13,1226.8238,0.04,,G0 V,5802,1.3,1.11,0.19,4.26,46.6224,7.515,5.969,7.33476
HD 24040 c,HD 24040,1,2,Radial Velocity,2021,Multiple Observatories,515.4,1.3,9.35,63.88351,0.11,,G0 V,5776.49,1.39,1.1,0.197,4.2,46.6224,7.515,5.969,7.33476
HD 24064 b,HD 24064,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,535.59998,1.29,12.3,4096.8287,0.35,,K0,4052,40,1.61,-0.49,1.44,300.247,6.74616,3.13,6.17839
HD 24085 b,HD 24085,1,1,Radial Velocity,2019,Las Campanas Observatory,2.0455,0.034,3.46,11.8,0.22,,G0 V,6034,1.41,1.22,0.17,4.2,54.9004,7.57,6.172,7.42496
HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,6019.32,6.19,12.9,1423.8784,0.39,,K1 V,5160,0.83,0.86,0.04,4.4,37.433,8.87,6.806,8.59876
HD 25171 b,HD 25171,2,1,Radial Velocity,2010,La Silla Observatory,1802.29,2.971,13.9,290.81445,0.042,,F8 V,6125,1.23,1.08,-0.12,4.26,55.6146,7.77,6.489,7.638
